StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
-127,111,32,256,105.492247,760,444.8310985,643.2138759,443,648,0
30,151,96,192,355.2678504,808,774.8010511,450.3511441,802,491,1
-169,-79,32,128,26.45243482,858,553.0979238,313.8081807,549,322,0
96,-109,32,192,128.2268781,684,639.5051656,337.192007,665,322,0
-145,-45,96,128,188.9622151,792,347.8051958,251.3561365,391,291,1
-169,55,96,64,164.8176072,796,374.1917299,380.2448087,444,428,1
-140,122,96,128,287.3481063,709,479.4112294,346.2522299,512,396,1
-109,-99,32,192,135.8661253,982,378.7357928,377.2055118,407,378,0
-89,-91,96,192,34.73696006,699,611.2174755,296.0366577,653,328,1
-171,-8,16,128,48.39040693,893,536.8736511,429.4297359,530,412,0
-83,131,16,192,199.1217563,982,371.8759558,421.5899682,391,429,0
-48,-162,16,64,184.3018354,1005,519.7191632,185.1646288,538,189,0
116,-74,96,64,122.7257488,820,679.607882,282.1815817,745,329,1
62,146,96,128,25.80122163,924,760.2379259,509.3602145,827,543,1
158,92,16,128,197.669028,1109,655.1358138,401.0396619,682,408,0
-114,122,32,256,105.3938192,1032,441.019663,716.5370956,457,697,0
165,-61,64,128,351.473401,1063,905.5521704,247.1270306,935,271,1
154,12,32,192,211.0297396,918,629.2673524,266.5273044,660,285,1
-112,155,16,64,46.58357388,1259,574.9146824,565.0373101,577,570,1
-88,-166,64,256,301.8062713,801,627.7002688,-11.66030604,642,55,0
-156,-84,16,192,130.7788641,1004,351.4952815,412.3477226,369,412,0
-54,-152,16,256,130.282876,1106,394.7387517,416.225219,424,406,0
155,-51,96,128,191.52746,791,648.7731576,240.9664926,704,282,1
-2,157,16,256,2.83353137,1118,914.3204508,523.0723864,902,531,0
157,-33,16,192,0.150819942,1347,1045.892249,319.6762202,1046,327,1
174,52,64,192,277.9220904,792,802.6668958,231.4823341,833,263,1
171,-68,16,256,323.2341666,998,1007.899873,130.9057925,984,133,0
-15,182,16,256,258.163425,1066,560.9575954,266.5930118,569,300,0
-82,-129,96,256,212.8691549,842,327.8779304,65.31897947,376,106,1
-106,-118,64,64,169.6075234,809,451.2829187,219.3014425,453,247,1
173,61,16,192,246.6427777,1174,715.7565892,206.3474744,712,209,0
-132,-31,16,256,38.04707454,881,677.509648,459.920754,695,455,0
-23,-147,32,64,37.21251124,1099,656.8139333,239.3842939,679,244,1
-124,92,16,64,342.2486792,1222,581.9969443,420.3115108,583,429,1
-128,140,64,256,122.9666859,838,363.9039033,647.0000808,428,641,0
-149,76,32,128,105.2218685,1030,440.7057009,546.0338478,459,552,1
-125,53,32,192,148.8458943,1011,332.2082049,497.830187,343,506,1
-30,139,64,128,84.31340579,951,589.9672595,587.180998,631,622,1
165,-14,96,128,111.9525193,855,716.891714,397.5088307,768,454,1
-4,147,64,192,142.7978388,993,454.0826089,588.8024065,487,608,1
170,-4,96,256,194.1966317,636,605.0600429,268.2979026,672,315,1
26,-148,64,64,41.724825,939,678.967621,220.0996523,700,252,1
63,161,96,64,109.806934,853,636.6454691,523.9623187,700,561,1
120,126,32,128,158.8735214,999,625.0938208,515.9452202,659,524,0
174,58,32,128,1.743307282,1246,956.8734012,406.8354462,970,416,1
99,139,32,64,270.3411124,968,723.3674123,421.2874297,745,445,1
-57,120,32,256,289.5212362,664,623.9216908,303.4472455,643,346,0
130,61,64,64,18.59401368,827,787.9490784,405.8039125,831,447,1
14,167,64,64,64.98854094,968,648.1729161,551.0987046,678,594,1
92,-95,96,256,20.46296704,719,856.0149207,281.1870507,904,321,1
128,58,32,256,214.0582503,927,558.1482226,270.9583826,601,301,0
138,-54,16,128,222.7642988,933,681.9381472,216.5556953,713,228,0
164,-79,32,64,121.4774931,1048,752.8304391,322.4421443,780,337,1
-53,124,32,128,165.9649703,937,455.5910135,496.8496491,474,515,1
153,103,96,192,156.1756673,719,617.4338181,471.3281165,671,499,1
-20,-179,64,256,36.12802809,752,742.7499746,261.9616188,767,283,1
93,101,16,192,69.61013376,777,776.9658171,592.8075523,795,596,0
159,65,16,64,257.739958,1067,776.5707146,350.5988706,788,362,1
-4,-168,64,192,34.23160523,856,740.2320244,252.6930844,740,286,0
-83,133,96,256,109.4967415,731,445.6888562,623.8174733,506,649,1
60,171,64,64,46.49604971,805,703.4423063,536.3432413,737,570,1
-123,75,96,192,142.9610678,815,345.8558796,479.9270085,417,507,1
166,-32,96,128,223.1748819,800,684.0786218,210.6441643,739,268,1
-165,40,16,128,2.403672842,1064,603.6683304,397.7368765,596,403,0
145,68,96,192,2.161996086,769,886.5214311,385.6447136,908,413,1
59,146,16,256,81.09572493,846,723.9957584,708.6036969,740,656,0
-53,140,96,192,38.15379679,793,657.8428585,545.3650263,688,605,1
124,-94,16,192,330.4673276,930,910.0797925,170.7098229,904,174,0
145,-92,16,192,100.2297632,1061,740.9869297,459.5573866,748,448,0
-157,11,16,128,11.09011973,849,581.2429023,383.8250033,568,389,0
56,173,32,256,91.63002976,1167,671.5539823,813.7986339,694,1050,0
-130,113,32,192,143.3872308,989,340.1095851,571.3423304,366,573,0
150,104,64,128,91.99857433,908,753.9533708,547.963029,768,564,1
-122,120,96,192,345.5017823,820,621.053568,392.9399043,642,440,1
-67,-175,96,64,323.9121268,805,566.8288687,106.5114231,627,131,1
150,92,32,256,148.922414,891,576.882201,554.8039104,614,581,0
-11,131,16,64,315.3888784,1046,668.2924368,436.3452124,674,442,1
-37,-152,96,256,174.1632955,774,356.6525183,180.2757861,406,219,1
-138,70,16,128,157.0946236,1006,377.4696252,471.237244,405,473,0
-154,100,64,192,16.54083398,812,601.6077164,471.8378503,629,491,1
179,-1,64,256,189.44687,689,615.5366448,298.4702988,665,331,1
-128,-11,16,256,21.16300414,935,727.9168392,427.6853247,711,427,0
53,176,96,192,289.1179999,727,689.9570175,358.3036682,718,389,1
160,85,64,64,275.6129091,912,773.6719252,355.2871255,815,385,1
-145,8,64,128,113.8998196,981,412.7221696,449.4593374,448,475,1
51,-143,16,128,171.9004235,1084,545.3141699,228.594557,533,228,0
-36,-139,32,192,18.32538475,1382,840.6278413,288.6728567,837,306,0
93,106,64,192,222.1191958,634,611.6204727,353.1849903,645,393,1
139,30,16,64,343.9782937,1161,842.4308289,361.4882498,851,364,1
66,-112,32,192,341.5183303,890,849.7825791,178.594332,844,186,0
48,137,32,256,75.20913243,4294964403,802.7093257,973.0108934,67108863,67108863,0
-133,-66,32,128,260.1330998,959,470.3493498,159.2721818,478,174,1
46,-176,96,256,82.4575215,741,662.7551421,322.9627548,722,380,1
-148,102,64,256,242.4598469,849,360.0877738,238.3983583,414,280,1
-91,113,32,256,191.3967441,946,295.7953227,409.1851747,325,431,1
-95,-137,32,192,354.759057,927,706.1277027,190.7524858,708,216,0
-138,-6,32,256,85.5894327,832,502.2247447,548.3521826,507,553,1
-51,174,96,64,162.2375468,929,484.6206543,504.0606814,530,551,1
-103,97,16,128,211.4912589,1103,408.6402143,375.2686837,427,382,0
189,6,64,256,162.4878371,763,612.9182809,392.083708,665,412,1
-73,-147,96,256,31.81859227,710,671.5418136,259.6484737,717,306,1
30,178,32,192,151.537023,989,487.7192896,612.143987,517,617,0
-157,103,32,64,263.3010022,1004,459.4471295,382.6957709,477,396,1
187,31,96,256,273.8696018,762,791.9541861,151.4838197,835,207,1
69,-157,32,64,233.7970561,889,659.3799194,141.068937,675,152,1
-10,-135,64,64,198.6832643,857,546.0878077,175.4455911,588,214,1
29,163,64,128,265.4534525,811,628.8297731,388.2546626,665,426,1
-63,-129,32,192,283.2662956,904,600.8203284,46.10443835,624,68,1
123,110,64,192,38.91432492,898,864.8063825,546.0233861,889,566,1
66,148,32,256,336.0090874,931,909.7083371,394.2212975,921,396,1
-134,-46,96,192,77.28304997,786,491.0728058,412.5534459,543,465,1
160,22,64,192,12.96073823,995,951.4222659,392.2139988,957,402,0
104,-151,16,64,61.58715458,1117,769.9399925,263.7370805,776,261,0
-177,-12,64,192,66.39812745,877,498.15381,469.6953057,525,473,1
33,-143,32,192,254.1009656,855,611.796137,42.30045503,633,72,1
-178,43,64,256,104.4439667,805,377.9968465,572.8956035,390,588,1
113,103,16,64,267.0114518,1173,741.0591918,379.5162332,755,384,1
101,-127,64,128,262.6854441,945,693.7152393,81.92380589,734,115,1
-42,182,96,64,140.6717012,821,509.4941559,527.1870715,549,595,1
160,0,32,64,21.92153621,985,841.6093926,367.1839846,854,386,1
-18,182,16,192,357.0234311,945,793.8768384,524.6468155,780,533,0
-161,37,64,256,267.9711784,808,439.6893979,158.6281983,435,177,0
