StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
114,-64,16,192,106.7396707,609,712.8268445,398.2943756,716,399,0
-157,107,32,128,128.3132342,759,407.6635041,526.0973659,428,535,1
-146,7,96,64,20.89561791,712,487.6126854,334.8866928,547,381,1
-145,-7,96,256,345.9868376,677,616.3926119,262.7243427,640,317,1
-150,-9,16,192,36.26742769,691,591.1895836,423.1121946,585,418,0
69,147,64,64,185.7062249,1382,588.7223979,466.1790373,631,493,1
8,130,96,64,14.72848077,654,639.88109,452.4837995,688,485,1
61,-139,16,128,146.046143,850,602.8815315,273.6801356,622,274,0
110,-79,64,128,159.7868196,603,645.0186071,275.8709872,682,313,1
-130,-106,32,256,115.997668,708,413.7718982,402.508979,440,393,0
-143,-117,64,256,135.4249892,791,321.8625007,352.0296618,371,361,1
112,-82,32,256,77.75814898,665,772.2340547,428.9984844,773,403,0
-179,-57,32,192,45.52943757,733,544.4754472,388.331038,547,392,0
23,-169,96,128,121.4729275,801,561.1735812,230.9299647,612,275,1
133,22,16,64,332.9297016,848,813.001461,349.4678027,807,365,0
85,156,96,192,182.8908541,745,535.8226723,460.8708583,608,510,1
-155,-13,64,192,206.6958908,744,324.820911,250.5441523,384,296,1
29,169,96,192,45.10047088,735,722.3848912,582.7410827,751,606,1
140,74,96,128,247.6074238,759,695.0469842,296.3122815,741,354,1
1,-172,16,128,330.1866545,901,732.6556149,122.8958617,731,135,0
-102,106,32,192,54.02972658,772,608.905349,569.7455508,613,589,1
-46,149,16,192,121.0766108,721,515.577242,617.8489608,527,618,0
-168,67,64,256,121.03215,703,347.9891843,547.9372602,399,555,1
94,-142,32,64,253.7268273,795,703.8279858,153.4511188,724,179,1
-147,96,16,128,120.1883624,830,431.1583513,540.5524502,435,539,0
-80,112,96,192,8.334304527,611,628.2513213,441.030324,646,487,1
113,141,16,128,33.08346403,1000,852.1603397,562.8128847,857,564,1
59,-116,64,128,197.8857904,670,584.5687106,185.3979932,624,221,1
142,100,64,128,158.5503107,814,653.7319437,465.8233814,697,489,1
3,-181,64,64,143.339244,636,577.8293226,171.6893363,614,200,1
-134,11,64,192,139.4102192,752,363.1563839,433.9701809,409,456,1
-72,-147,64,64,269.6891148,731,535.7447444,133.9571533,577,176,1
132,132,96,128,7.106221769,768,819.7630738,455.9384818,859,511,1
76,-108,16,192,276.4377063,858,726.415635,80.79059735,730,121,0
34,-141,32,64,20.83668794,736,702.0082298,219.7494119,712,237,1
131,115,32,256,292.1937564,973,849.5035728,227.3539102,851,283,0
17,-144,32,64,22.28929523,704,683.1351288,217.27168,697,232,1
88,-157,64,192,67.66782132,613,741.0434575,280.6518451,766,288,1
-176,-46,96,64,102.1160198,790,405.4340974,315.2183868,456,345,1
-145,0,96,128,65.31330516,695,484.1659017,392.8539177,537,438,1
106,135,32,128,273.1451809,1392,739.7594124,301.3913375,752,332,1
-57,178,16,192,9.243250512,947,754.3963247,559.1948536,738,568,0
-181,0,16,192,275.3165208,947,467.7703444,171.7861583,472,197,0
-118,-61,16,256,256.7634686,929,459.8584536,60.8265609,475,111,0
-163,-93,64,64,254.8025649,815,431.1547564,184.0320201,468,214,1
-58,147,16,192,110.5104011,791,520.4269011,642.2085039,539,640,0
106,112,16,192,107.775487,1046,676.6893122,655.2415014,697,643,0
-23,-182,32,64,116.1039281,829,578.0208806,208.8980801,596,225,1
157,82,32,192,211.790915,718,664.3534171,353.7016582,696,383,0
-143,108,64,128,61.61486666,753,510.6554935,520.4904607,548,536,1
-121,83,96,128,123.048972,641,426.5958257,463.2486528,474,514,1
-97,104,96,64,120.3033266,718,471.7901888,455.7135382,525,499,1
-164,-83,96,256,357.3496756,655,595.8348992,221.230938,605,271,1
46,126,32,128,59.69429235,1340,755.9935712,617.1267121,776,618,1
-61,128,96,128,176.3867165,726,438.5506061,445.8379415,487,491,1
52,165,16,192,8.860065103,932,859.5107546,544.3589344,854,554,0
131,33,96,128,219.7808969,784,647.5557469,282.1848213,698,327,1
-128,-16,32,128,191.9810067,863,386.7346416,304.812786,419,315,0
11,188,64,192,42.09364969,941,754.1443423,638.0850789,759,648,0
-25,148,64,128,255.8565584,764,559.3772423,382.2547417,589,422,1
-58,169,16,64,250.4244036,1225,547.8801501,447.5479564,560,466,0
-179,45,16,192,163.7299141,1201,234.4422217,460.7869193,251,470,0
182,43,96,128,294.0034616,799,815.7176079,261.3159517,853,311,1
-153,-41,32,64,243.2791841,885,446.0177908,253.37333,463,266,1
-28,-164,32,64,85.88102989,997,600.5532095,243.2269981,616,254,1
112,-97,96,128,188.6027359,769,608.9580946,200.6216211,664,250,1
-72,-106,96,192,99.62663763,785,494.7845522,354.6623223,537,386,1
177,-5,16,192,11.58396973,1061,1010.515184,388.3063742,1000,394,0
149,-99,64,192,156.8183591,702,631.2700337,282.8402511,683,307,1
-43,185,16,256,277.557985,1211,629.5046066,231.7246512,635,264,0
97,153,96,256,85.14096769,752,705.4315203,658.2892418,744,670,1
-114,-107,64,192,286.0599955,815,536.82626,72.23517698,561,123,1
-164,42,32,128,308.2344888,915,532.8350876,293.5576685,540,316,1
151,22,32,256,44.15920578,965,953.3701137,539.2104299,958,542,0
63,152,64,256,357.6200592,1151,965.7723346,467.7487579,985,483,1
-109,150,64,192,227.0319456,856,387.5555981,358.3568387,422,400,1
-160,-28,16,128,260.7484006,1141,448.5595316,180.095447,457,190,1
119,102,16,256,83.44310591,988,779.5841074,702.6837395,790,673,0
-156,85,32,128,112.1358726,936,423.0781963,539.4306651,441,538,0
-175,-27,96,256,242.9152116,1292,265.6632485,-10.93165643,326,64,1
135,6,64,128,10.2854007,734,836.5220934,350.971229,855,386,1
-27,127,32,64,313.7186742,859,634.4995191,431.7845918,646,446,1
4,147,96,192,4.167126866,755,737.8702968,469.3364705,773,518,1
19,-148,16,128,152.9239416,1143,520.2047167,270.8623767,537,271,0
-34,183,96,64,165.7564196,821,507.2957222,507.8711988,545,551,1
-137,101,16,256,278.3501548,960,530.6348176,210.2201795,529,230,0
-120,-149,32,128,346.3412063,874,612.6382936,168.5995983,620,185,1
