StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
-128,79,96,128,321.3818464,694,533.6415156,335.3697728,585,379,1
-163,-39,32,64,102.7564024,783,449.9592041,353.76798,464,363,1
-149,-5,32,128,260.5402296,855,457.2234498,232.3113969,465,277,0
171,-17,16,192,169.5826951,1412,537.9104386,383.735805,578,379,0
108,123,64,64,266.670679,780,713.072038,400.6681132,744,429,1
47,-179,64,192,230.8880507,1003,532.8768616,-1.208471343,570,55,1
188,-18,64,192,6.347060057,791,946.3273736,326.7212847,937,348,0
36,-177,96,256,162.4202366,778,440.7222632,194.335204,540,253,0
-20,-154,32,64,70.71530547,710,618.9555075,232.7428252,636,246,1
121,-93,32,128,118.8405745,718,701.0084992,330.8861855,716,338,1
-44,-150,32,128,69.05097013,713,612.5475367,279.015207,623,284,1
0,139,16,192,321.5287494,937,770.616734,380.8527877,751,408,0
4,-132,32,256,267.0201786,777,617.6830624,13.80559496,632,82,0
60,-121,64,64,97.12256183,693,662.5156663,250.8899461,693,285,1
27,133,96,64,233.7020288,739,591.4929837,407.5509558,645,440,1
-123,-85,32,64,66.87445122,834,522.2522781,308.7637679,536,316,1
-6,153,32,192,169.8225197,764,473.7438216,522.8972528,516,533,0
14,-141,16,64,70.78671928,793,662.9690193,259.6920423,668,263,1
-3,141,32,128,55.77129931,759,675.5096292,565.1221218,690,577,1
156,-38,32,192,121.4675411,954,685.0622816,461.1214643,712,465,0
-94,108,32,256,58.27874514,682,620.7548278,598.8227332,642,590,0
-131,14,64,256,7.58425495,665,647.5280275,364.7056026,639,394,0
-171,84,32,64,160.619318,885,400.2219417,446.5660891,423,458,1
144,-5,64,128,188.7445646,1023,623.6092762,303.2512459,677,346,1
-121,147,64,256,221.0356632,802,332.3802418,340.4220361,385,397,1
35,-171,64,256,347.6701336,867,856.7520954,110.2777741,847,148,0
-126,-80,64,192,342.6278182,715,613.7118194,206.7942359,624,253,1
-145,-58,32,64,276.793199,753,484.7138403,238.03387,503,264,1
16,154,96,256,101.2638226,711,572.8078399,642.7001357,615,651,1
-73,135,64,128,170.3858203,692,448.0357004,477.731049,499,507,1
125,84,64,128,267.5673859,861,728.4128808,304.0237158,763,346,1
-172,44,32,256,155.7409566,785,268.7773942,470.5705559,312,468,0
67,-153,16,64,95.49919287,818,694.0083027,250.848414,698,256,1
-121,-129,32,256,124.4161319,745,393.9014954,374.2381516,438,363,0
-65,-119,96,64,244.1601123,699,507.5175482,152.770111,574,223,1
-167,-74,96,64,53.13511767,789,455.1405508,278.1947306,514,331,1
-163,67,16,128,108.2059304,887,434.01034,525.3845424,447,515,0
-154,44,96,64,342.1502566,780,486.1213822,340.5038166,551,387,1
-134,13,16,64,53.49445221,1042,537.5059395,418.378403,541,422,1
170,24,32,128,196.8453043,1352,627.8965947,317.7070792,670,345,0
-152,3,32,256,83.14982211,844,498.0147229,563.5527815,504,551,0
143,24,16,192,314.8420293,783,880.1574943,270.2610397,882,295,0
-140,17,32,128,136.5827667,811,409.2798161,431.7019493,429,436,1
-106,-72,96,192,68.64923875,670,533.1381254,360.5872613,572,397,1
-127,51,64,128,197.6876965,771,385.4219406,348.5197633,446,387,1
-165,-93,32,192,249.7746828,923,398.0933889,85.68612688,427,134,0
-107,-146,16,128,179.5910864,1054,388.7239315,206.9726036,418,220,0
81,145,64,256,174.509501,873,466.714704,494.3664384,538,519,0
-69,-120,64,128,172.4137997,909,423.9675862,223.3204031,456,256,1
44,-144,96,128,179.7965941,805,532.8004839,168.3663704,580,222,1
149,105,16,256,240.4455807,1362,610.2351143,155.8418504,621,181,0
74,-125,32,256,202.514658,1008,461.7974461,121.0908955,501,150,0
31,-148,32,256,82.76379172,918,684.1934179,425.9210847,696,417,0
-187,29,96,192,2.222678215,789,557.7859304,346.9300077,598,391,1
178,-68,96,192,238.2223018,837,685.1635932,107.0538893,756,173,1
135,-38,64,128,152.1307878,808,651.5847046,338.3390326,697,370,1
-129,28,16,64,316.6397428,1093,553.396599,332.4084801,552,344,0
-129,115,96,192,9.985529897,821,615.4387811,453.8393763,639,498,1
-52,145,32,256,250.3107505,931,492.7889507,267.641257,517,321,0
161,36,64,256,137.4940422,991,580.9920663,536.3134987,619,560,1
127,-34,96,128,114.9172878,951,667.8245667,388.1609857,727,413,1
-139,-111,64,256,9.978738711,779,663.4059284,251.2046323,663,284,0
-136,3,64,64,276.2147711,915,478.2789981,273.3392957,503,309,1
30,168,96,64,202.593454,886,569.8210985,458.2870137,613,509,1
26,-177,16,256,298.819132,809,757.4919789,-5.83217957,759,36,0
-154,-33,64,256,206.6040139,944,238.6722555,187.1530294,290,232,1
-87,-94,16,192,124.4383022,1151,421.4016235,438.2522672,442,438,0
-118,89,64,256,211.58519,832,309.7471922,306.1719488,343,340,1
9,-172,96,128,250.8006866,858,565.2075038,37.21398538,609,98,1
-185,-14,64,192,182.3178764,881,254.4689767,307.1784273,292,333,1
-130,-58,16,192,43.49961437,998,638.7082139,423.7295023,638,421,0
-29,130,64,128,43.4240423,836,656.6738857,531.514307,678,554,1
-46,166,16,128,156.0743761,956,474.4844439,567.4765698,489,575,1
-124,-104,96,64,40.91304941,840,508.7496813,243.3147293,550,288,1
-26,-189,32,64,292.886029,943,621.7883776,98.64669262,633,121,1
-6,168,16,64,95.14094312,945,620.5067737,581.0575893,628,600,0
8,-172,32,128,31.53671071,871,726.9815584,230.2885168,732,239,1
165,65,96,256,344.0280627,899,977.4275567,313.9102383,998,367,1
-27,154,32,128,10.29085933,913,711.7206425,518.8293683,713,526,0
26,-136,16,256,160.8181246,1168,375.0286565,314.4406898,394,331,0
120,-60,16,192,201.6956572,1040,564.8466,217.5390479,583,229,0
19,-178,16,128,56.27484768,912,715.6883599,270.9039203,717,271,0
56,147,16,128,151.099789,919,585.6390914,555.5067491,591,565,1
-38,150,96,192,66.77091695,788,612.8408702,599.0938074,657,629,1
170,79,64,256,98.8354993,1112,734.636674,685.9666861,767,664,0
105,74,64,128,84.58870538,815,722.8885576,506.3903674,747,532,1
-72,123,32,256,49.54206618,854,693.391567,632.7945857,699,627,0
114,-74,32,192,51.48521949,886,842.4744412,401.272849,846,407,1
96,93,96,256,72.03545119,721,745.2458179,581.5561451,773,609,1
149,-51,64,192,67.04779904,644,805.0901049,390.5564873,827,410,1
-142,-116,64,192,306.856765,807,557.4744142,89.97585567,568,141,1
120,81,96,128,331.1748734,765,797.8203245,345.770855,829,402,1
166,-61,96,256,64.59127058,745,839.1247767,421.7812256,886,445,1
-162,-41,96,192,109.8438261,912,371.1958332,433.9436839,412,466,1
80,-172,64,192,32.74258209,855,825.9886408,244.7320221,842,271,1
-124,-95,32,64,319.7462535,1105,553.4897825,203.711552,566,220,1
-142,-21,96,128,181.6035822,1035,317.3325277,287.2859609,377,342,1
-18,-187,64,64,154.097653,1022,530.3231999,169.9805182,563,200,1
-156,0,32,64,58.97597347,1058,502.9335617,402.084024,514,420,1
155,98,64,192,257.2430768,890,724.8373821,257.4401201,762,294,1
-139,6,96,128,185.8291053,838,346.0217486,307.0786388,395,349,1
-96,93,16,192,142.5392734,1018,381.5388838,563.3540578,405,561,0
-38,122,96,192,32.47043125,743,674.0334508,510.3826833,717,559,1
-117,103,64,64,274.1102103,971,495.472337,368.7632042,526,396,1
98,-150,96,128,154.434431,845,593.3628109,208.2294002,648,253,1
-101,90,16,128,60.80504908,1172,603.5997338,571.9288129,606,569,0
-182,-15,32,192,84.7381926,1034,460.0432698,524.9203732,473,518,0
-175,34,32,128,16.15101916,974,568.5328605,412.6167227,575,424,1
-64,-144,32,64,249.7814908,1231,532.9718637,126.6128431,556,150,1
135,-86,64,128,43.8289189,868,821.9198935,317.7579584,846,352,1
-131,-69,16,64,117.1076558,1228,465.1063187,353.1192983,479,363,1
134,101,64,64,91.95658686,1410,738.9005938,519.726287,767,548,1
120,-87,32,128,286.3956508,1082,783.1581913,123.9145829,786,149,1
138,-39,32,192,166.4882236,1249,529.898799,360.7730256,547,377,1
182,52,96,64,133.8598037,959,731.3520801,408.3800201,781,458,1
-147,58,32,192,67.94633621,1093,555.1073861,594.8024554,572,599,1
-38,153,96,64,295.5939113,843,577.4616499,416.0184019,617,464,1
-34,146,16,192,217.0256992,1008,444.0464783,381.8793985,453,394,1
144,-54,96,128,31.56903551,903,833.0231459,317.616782,873,363,1
18,-156,16,64,309.3322861,1180,697.6939437,137.7963339,704,153,1
-77,-174,16,128,37.80586533,1184,675.0491218,271.1393293,677,277,1
-24,181,32,64,191.1375912,1008,537.4587684,512.6872806,552,533,1
88,-144,64,192,339.3081207,1000,874.7879063,116.4706366,887,162,1
-41,159,32,192,354.6319942,932,758.8612106,486.475295,765,501,1
-141,-105,96,256,280.6004995,865,491.4337476,-9.045402463,526,65,1
109,-89,16,192,205.7424042,909,582.8053878,186.7218268,603,197,0
-66,-141,32,256,168.9838763,944,321.5285594,249.0344557,356,265,0
-4,-177,16,192,56.8749507,1083,741.0979758,348.3262573,750,352,1
106,-135,32,128,339.0935257,922,839.9256941,167.0092259,834,188,0
134,-127,96,256,340.3258616,804,916.5121224,116.8837845,951,157,1
154,-21,96,128,219.9153522,769,670.8907097,228.1646826,733,276,1
-138,21,96,192,125.088038,849,360.2556482,466.4439332,414,510,1
-119,-140,32,192,52.02213269,739,593.3768993,317.2073844,593,324,0
-114,66,16,256,26.41510015,824,707.376456,512.0695056,709,513,0
28,-129,96,256,159.2384943,768,434.7216645,253.238232,494,293,1
-44,-143,64,192,98.55633498,741,542.6996962,326.5713266,575,348,1
-143,-98,64,256,121.1081844,843,355.1144981,412.1004606,391,428,1
-146,35,96,192,123.778264,804,360.548912,474.750123,419,517,1
70,-166,16,192,2.834537869,997,894.5667254,195.5344443,891,208,0
-61,163,64,192,342.1793892,832,699.8699931,441.8581477,739,477,1
76,123,32,256,56.85237556,868,820.3057557,651.2137737,832,647,0
97,87,16,256,62.16121989,1009,848.8868812,666.0131327,838,636,0
60,113,16,64,153.3057578,979,636.0411797,493.137309,645,501,1
103,-132,16,256,273.4936302,1271,754.5025113,-99.44606149,751,46,0
91,140,64,128,333.8773832,992,811.7017291,412.7328174,830,441,1
143,-57,32,64,93.99392175,832,763.3326904,339.5250447,781,349,1
154,15,32,256,14.504922,910,1006.415162,418.0931122,996,417,0
-139,29,16,128,192.1688381,940,375.4598211,355.6538218,391,358,0
148,-110,64,64,20.34523868,803,804.1782325,235.8649269,829,261,1
86,-142,32,256,225.9335487,861,557.7493396,44.70531691,570,65,1
146,-45,16,256,254.7492492,958,713.9262065,71.99218235,718,90,0
138,95,16,256,123.6791554,1049,621.6420004,669.6288551,630,665,0
82,-154,64,64,132.08414,841,653.9215528,213.9510347,687,239,1
-15,154,96,192,207.7346572,1037,401.9516287,373.9624383,467,436,1
39,138,32,64,43.89583834,909,704.9768599,522.3893628,723,534,1
132,88,16,64,282.601375,1311,782.2495875,358.3652413,788,357,0
-166,-27,96,128,325.263747,866,516.5470863,222.2174261,558,269,1
-180,-9,64,64,151.0209395,955,374.6293873,348.5583208,405,374,1
115,-152,16,64,57.43678766,1061,783.4689642,257.1056778,792,266,1
-165,1,16,64,222.0871917,1117,413.8314792,304.9801401,426,313,1
-14,182,96,64,38.39541102,1068,631.4064339,536.3224537,676,589,1
-45,-178,64,128,312.2630392,919,642.6194959,62.38584159,661,100,1
152,-96,96,256,352.8312806,791,943.0608742,190.9631674,976,231,1
139,90,64,256,107.4619086,1071,665.69979,676.4503263,716,672,0
121,-54,16,128,141.4843498,775,674.2783555,360.6531388,695,358,0
-80,105,16,128,226.7838118,976,467.6158998,367.1909231,474,381,1
-12,150,64,128,279.6174584,754,612.0810045,383.099259,639,425,1
106,-91,32,192,20.59334888,852,885.4188607,311.3975195,890,324,1
159,-4,32,256,282.2263204,939,833.4639628,107.1129255,837,127,1
7,138,96,256,57.75564984,762,702.390716,613.9001776,725,654,1
-133,-85,32,192,143.6263204,1031,331.3245591,376.6097045,357,385,1
121,89,64,256,156.6839056,923,514.2352828,509.563825,571,534,1
118,-148,16,128,204.0368073,1132,617.548561,144.926836,640,152,0
-48,-175,64,256,41.78847432,700,693.2786604,272.116641,708,304,1
-152,56,32,192,204.3869115,1032,291.5831368,318.2089706,308,331,1
-87,-133,16,64,192.5197441,1017,481.8984443,204.9879067,492,216,1
110,-88,96,256,66.29371508,672,769.5833556,377.9133071,797,403,1
-114,-115,64,64,333.0228941,829,541.4618021,188.8408873,568,219,1
-133,112,96,64,170.5907267,870,403.7789292,433.1509717,443,486,1
-169,-24,32,64,41.29331272,926,499.2356544,358.8528252,510,375,1
62,131,64,64,330.3024532,900,719.5010193,430.767926,746,461,1
149,-63,32,128,65.79042488,1094,829.7032346,407.1140471,845,422,1
169,33,64,128,354.6458815,874,887.9620079,350.6006457,904,379,1
161,24,16,64,300.0025806,1218,831.8858045,308.6548161,839,313,1
141,-95,16,192,161.7891304,876,612.3804485,309.8427887,626,316,1
-101,154,64,128,320.3347127,852,590.7293404,412.5722111,613,451,1
-5,156,32,128,296.6157922,854,668.388341,401.4416224,677,425,1
-55,-169,96,64,164.5131941,963,478.4351655,159.2269434,516,209,1
132,88,32,192,282.0765721,1108,799.9346612,226.6534897,814,247,1
159,-76,32,64,161.3375421,874,730.5406277,285.7182151,748,301,1
-110,-105,64,64,67.32502814,920,520.9621833,277.9602893,550,308,1
118,72,32,128,22.94742164,1431,909.6757729,486.9926191,916,502,1
-188,11,32,128,239.4325201,1172,360.0078009,226.3375959,378,248,1
-135,100,96,64,92.90854777,897,454.0972508,469.1324254,498,514,1
40,151,32,64,296.9237485,899,689.60541,444.5807855,706,468,1
7,-171,16,256,97.45553042,1042,604.2874373,446.2588333,613,440,0
49,119,32,256,215.6851227,797,506.1599507,343.1789405,534,373,0
128,-113,96,64,128.6466038,791,688.4538512,238.4513211,734,280,1
48,-154,96,64,70.08329689,867,659.0374964,210.5426394,706,260,1
72,-113,16,192,115.6548453,936,627.1485073,399.0081945,632,405,1
-75,120,32,128,65.41518065,864,594.2866898,562.9839908,615,579,1
-7,-169,64,192,104.5600406,935,555.7864841,333.0749707,588,354,1
-133,-106,96,256,293.0933344,865,546.8693538,-0.073244997,576,71,1
-173,-62,64,192,80.14866341,836,462.6434001,425.1877034,492,435,1
-70,-126,16,256,70.69915739,831,632.1549167,426.3215508,654,439,0
-58,-127,16,128,154.025611,912,468.2033926,276.5419256,480,285,1
-42,138,96,192,259.015569,940,515.5168586,272.3418924,558,332,1
-135,78,64,128,122.0310335,752,421.7169897,487.9711428,470,522,1
143,60,64,128,48.67692519,828,821.1920788,467.8331011,821,483,0
-143,92,96,192,81.1141574,658,468.5072117,528.7721477,532,556,1
-134,7,64,64,282.595338,657,483.1763466,293.931689,516,336,1
-38,-186,32,64,63.72410906,915,611.4984675,209.6469294,626,223,1
13,-168,64,64,74.65049736,731,633.4676589,205.4198686,671,235,1
-110,70,32,128,277.4004627,662,524.9543423,329.6615692,542,355,1
-75,139,32,256,113.6744836,700,476.0965763,649.2797974,511,617,0
65,135,64,192,223.2865317,768,566.2039553,362.4078853,611,404,1
-122,-96,96,256,294.212739,723,545.6210174,47.83561306,591,138,1
-127,-18,32,192,49.92681331,790,593.6516203,440.8865676,585,427,0
-121,-132,32,64,331.675102,873,551.8626264,185.6627906,560,205,1
-76,107,16,64,298.1454468,797,580.2799852,413.6143088,582,430,0
-121,-114,16,192,358.2890088,915,686.8455196,232.747264,667,238,0
109,-153,96,192,83.33252313,650,715.5200651,283.2118635,760,323,1
172,26,16,256,127.4286149,986,651.7368391,576.9459482,678,544,0
142,38,16,64,280.7306874,949,785.2669913,330.5456951,791,342,1
-110,-70,32,256,112.9007544,838,431.3776911,469.5872142,462,451,0
95,146,16,192,48.20360465,4294965848,982.9304584,782.5096537,67108863,67108863,0
164,-47,64,64,108.4655532,802,755.9598434,329.0349288,793,358,1
6,-157,64,192,91.29208416,774,610.6610457,319.0364554,647,329,1
-146,94,32,64,290.867159,841,497.4621119,386.9459784,510,412,1
-114,79,32,64,308.0095868,715,538.3021013,386.7874531,549,402,1
29,-180,64,256,71.012599,726,696.6296996,321.3010077,729,326,1
-140,-114,32,256,322.9917718,834,652.8377959,102.7335762,647,131,0
-148,-95,32,192,74.6917898,845,518.5828844,404.5692207,540,394,0
88,-116,64,192,326.1118726,700,808.7259789,136.2851872,820,196,0
187,21,64,256,317.1297509,713,927.7999964,225.7230678,937,278,1
-153,-91,64,256,122.1216331,822,343.8873748,413.9802251,392,412,0
130,-44,16,128,220.775738,896,674.9013109,232.8827668,697,255,0
-131,20,32,256,262.2877973,767,466.6551605,169.4614166,480,222,0
148,-77,64,256,347.0456981,780,953.9051962,205.4762135,957,246,1
49,-130,32,256,275.5638129,779,691.9964948,18.9906288,704,77,0
-182,-18,64,64,141.3582154,801,385.5587891,342.3321104,411,370,1
0,-164,96,192,338.7811521,737,722.3412379,97.39463191,761,146,1
-93,152,16,192,135.2487387,886,418.9364488,623.0255846,445,611,0
-43,173,16,256,275.400539,814,608.2070539,321.8309922,604,355,0
-175,44,32,128,323.9242911,801,530.4857291,328.6324848,540,357,1
-179,-7,16,192,170.1904845,909,281.1851802,374.7069594,311,381,0
32,-151,64,192,351.1425599,708,774.8380043,155.9875354,784,185,1
-40,173,96,128,328.3312338,662,624.9883076,439.9764493,675,478,1
-134,-101,96,128,320.0555414,698,525.6096046,154.3803998,573,206,1
145,-15,96,192,261.6998418,790,715.121531,147.0314456,766,224,1
